filename,place_name,category,city,Lat,Lon
EKB_2413.jpg,улица Февральской Революции,"cultural,urban_environment,interesting_places,squares",EKB,56.842964,60.588932
EKB_2413.jpg,улица Февральской Революции,"cultural,urban_environment,interesting_places,squares",EKB,56.841328,60.593147
NN_1068.jpg,Благовещенский собор,"religion,cathedrals,monasteries,interesting_places",NN,56.322552,43.976471
Yaroslavl_227.jpg,Беседка на Волжской набережной,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Yaroslavl,57.629944,39.896305
Vladimir_1739.jpg,Владимир,"historic,monuments_and_memorials,interesting_places,monuments",Vladimir,56.107956,40.30917
Vladimir_1739.jpg,Владимир,"historic,monuments_and_memorials,interesting_places,monuments",Vladimir,56.158051,40.361938
Vladimir_1739.jpg,Владимир,"historic,monuments_and_memorials,interesting_places,monuments",Vladimir,56.152447,40.367638
NN_1072.jpg,Благовещенский собор,"religion,cathedrals,monasteries,interesting_places",NN,56.322552,43.976471
EKB_2413.jpg,улица Февральской Революции,"cultural,urban_environment,interesting_places,squares",EKB,56.842964,60.588932
EKB_2413.jpg,улица Февральской Революции,"cultural,urban_environment,interesting_places,squares",EKB,56.841328,60.593147
Yaroslavl_231.jpg,Беседка на Волжской набережной,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Yaroslavl,57.629944,39.896305
Yaroslavl_2415.jpg,Российский государственный академический театр драмы имени Федора Волкова,"cultural,theatres_and_entertainments,interesting_places,other_theatres",Yaroslavl,57.627155,39.884796
EKB_266.jpg,Харитоновский сад,"urban_environment,gardens_and_parks,cultural,interesting_places",EKB,56.846531,60.613251
Yaroslavl_229.jpg,Беседка на Волжской набережной,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Yaroslavl,57.629944,39.896305
Yaroslavl_2414.jpg,Российский государственный академический театр драмы имени Федора Волкова,"cultural,theatres_and_entertainments,interesting_places,other_theatres",Yaroslavl,57.627155,39.884796
EKB_267.jpg,Харитоновский сад,"urban_environment,gardens_and_parks,cultural,interesting_places",EKB,56.846531,60.613251
EKB_265.jpg,Харитоновский сад,"urban_environment,gardens_and_parks,cultural,interesting_places",EKB,56.846531,60.613251
